year,Expected_per_capita_inc
2017,38803.298881961266
2018,39631.76395753934
2019,40460.229033117415
2020,41288.69410869572
2021,42117.1591842738
2022,42945.624259852106
2023,43774.08933543018
2024,44602.554411008256
2025,45431.01948658656
